SMM001,919,1171,1393
SMM002,956,1187,1391
SMM003,795,1013,1205
SMM004,840,1064,1262
SMM005,922,1146,1344
SMM006,840,1064,1262
SMM007,850,1074,1272
SMM008,961,1192,1396
SMM009,871,1102,1306
SMM010,967,1191,1389
SMM011,967,1191,1389
SMM012,895,1119,1317
SMM013,820,1044,1242
SMM014,887,1125,1335
SMM015,800,1024,1222
SMM016,853,1084,1288
SMM017,861,1092,1296
SMM018,807,1031,1229
SMM019,845,1069,1267
SMM020,810,1028,1220
SMM021,890,1114,1312
SMM022,972,1210,1420
SMM023,807,1031,1229
SMM024,910,1134,1332
SMM025,946,1177,1381
SMM026,912,1150,1360
SMM027,880,1104,1302
SMM028,845,1069,1267
SMM029,810,1034,1232
SMM030,886,1117,1321
SMM031,820,1044,1242
SMM032,815,1039,1237
SMM033,825,1049,1247
SMM034,1071,1302,1506
SMM035,900,1124,1322
SMM036,1060,1284,1482
SMM037,1000,1224,1422
SMM038,1000,1224,1422
SMM039,1180,1404,1602
SMM040,990,1214,1412
SMM041,800,1024,1222
SMM042,942,1180,1390
SMM043,942,1180,1390
SMM044,850,1074,1272
SMM045,921,1152,1356
SMM046,850,1074,1272
SMM047,962,1200,1410
SMM048,871,1102,1306
SMM049,921,1152,1356
SMM050,942,1180,1390
SMM051,850,1074,1272
SMM052,815,1039,1237
SMM053,840,1064,1262
SMM054,881,1112,1316
SMM055,1031,1262,1466
SMM056,1072,1310,1520
SMM057,860,1084,1282
SMM058,840,1064,1262
SMM059,931,1162,1366
SMM060,941,1172,1376
SMM061,840,1064,1262
SMM062,840,1064,1262
SMM063,891,1122,1326
SMM064,870,1094,1292
SMM065,800,1024,1222
SMM066,1021,1252,1456
SMM067,896,1127,1331
SMM068,813,1037,1235
SMM069,830,1054,1252
SMM070,865,1089,1287
SMM071,803,1021,1213
SMM072,820,1044,1242
SMM073,833,1057,1255
SMM074,815,1039,1237
SMM075,865,1089,1287
SMM076,950,1174,1372
SMM077,940,1164,1362
SMM078,920,1144,1342
SMM079,809,1033,1231
SMM080,766,990,1188
SMM081,831,1062,1266
SMM082,800,1024,1222
SMM083,821,1052,1256
SMM084,825,1056,1260
SMM085,822,1053,1257
SMM086,822,1053,1257
SMM087,901,1132,1336
SMM088,855,1086,1290
SMM089,843,1074,1278
SMM090,972,1210,1420
SMM091,821,1052,1256
SMM092,846,1077,1281
SMM093,889,1120,1324
SMM094,895,1133,1343
SMM095,844,1075,1279
SMM096,822,1053,1257
SMM097,801,1025,1223
SMM098,826,1057,1261
SMM099,856,1080,1278
SMM100,802,1026,1224
SMM101,872,1103,1307
SMM102,822,1053,1257
SMM103,897,1128,1332
SMM104,852,1083,1287
SMM105,791,1009,1201
SMM106,921,1152,1356
SMM107,768,992,1190
SMM108,938,1156,1348
SMM109,850,1074,1272
SMM110,850,1081,1285
SMM111,859,1083,1281
SMM112,789,1007,1199
SMM113,846,1077,1281
SMM114,830,1054,1252
SMM115,822,1046,1244
SMM116,825,1049,1247
SMM117,800,1024,1222
SMM118,849,1080,1284
SMM119,799,1017,1209
SMM120,862,1093,1297
SMM121,847,1071,1269
SMM122,850,1074,1272
SMM123,965,1189,1387
SMM124,898,1116,1308
SMM125,1018,1242,1440
SMM126,1020,1244,1442
SMM127,1000,1224,1422
SMM128,1015,1239,1437
SMM129,980,1204,1402
SMM130,1055,1279,1477
SMM131,1031,1262,1466
SMM132,1316,1547,1751
SMM133,1070,1294,1492
SMM134,1231,1462,1666
SMM135,1025,1249,1447
SMM136,1021,1252,1456
SMM137,1007,1245,1455
SMM138,1083,1314,1518
SMM139,1056,1287,1491
SMM140,1000,1224,1422
SMM141,1001,1232,1436
SMM142,1116,1347,1551
SMM143,985,1209,1407
SMM144,879,1110,1314
SMM145,898,1136,1346
SMM146,890,1121,1325
SMM147,955,1186,1390
SMM148,841,1065,1263
SMM149,803,1034,1238
SMM150,1009,1233,1431
SMM151,864,1088,1286
SMM152,846,1077,1281
SMM153,934,1165,1369
SMM154,911,1142,1346
SMM155,845,1076,1280
SMM156,846,1077,1281
SMM157,896,1127,1331
SMM158,986,1217,1421
SMM159,972,1210,1420
SMM160,1008,1253,1469
SMM161,942,1180,1390
SMM162,972,1210,1420
SMM163,1021,1259,1469
SMM164,1117,1355,1565
SMM165,1037,1275,1485
SMM166,1025,1270,1486
SMM167,1018,1256,1466
SMM168,1019,1257,1467
SMM169,1054,1292,1502
SMM170,951,1182,1386
SMM171,974,1212,1422
SMM172,934,1165,1369
SMM173,1077,1315,1525
SMM174,921,1152,1356
SMM175,1037,1275,1485
SMM176,952,1217,1451
SMM177,1031,1262,1466
SMM178,912,1150,1360
SMM179,1005,1243,1453
SMM180,966,1197,1401
SMM181,1048,1320,1560
SMM182,952,1190,1400
SMM183,868,1106,1316
SMM184,1141,1427,1679
SMM185,933,1164,1368
SMM186,821,1052,1256
SMM187,1091,1322,1526
SMM188,1093,1338,1554
SMM189,1051,1282,1486
SMM190,1051,1282,1486
SMM191,1122,1360,1570
SMM192,908,1146,1356
SMM193,961,1192,1396
SMM194,1077,1301,1499
SMM195,939,1184,1400
SMM196,862,1086,1284
SMM197,924,1155,1359
SMM198,1075,1313,1523
SMM199,1073,1297,1495
SMM200,887,1118,1322
SMM201,800,1024,1222
SMM202,760,984,1182
SMM203,978,1223,1439
SMM204,981,1212,1416
SMM205,1112,1350,1560
SMM206,951,1182,1386
SMM207,1004,1242,1452
SMM208,917,1155,1365
SMM209,870,1094,1292
SMM210,942,1180,1390
SMM211,821,1052,1256
SMM212,1007,1245,1455
SMM213,1002,1247,1463
SMM214,1061,1292,1496
SMM215,926,1150,1348
SMM216,1086,1317,1521
SMM217,901,1132,1336
SMM218,882,1120,1330
SMM219,1053,1284,1488
SMM220,868,1106,1316
SMM221,851,1082,1286
SMM222,966,1197,1401
SMM223,1027,1279,1501
SMM224,914,1159,1375
SMM225,872,1110,1320
SMM226,1182,1420,1630
SMM227,1073,1318,1534
SMM228,990,1214,1412
SMM229,911,1142,1346
SMM230,1023,1268,1484
SMM231,952,1190,1400
SMM232,1070,1308,1518
SMM233,912,1150,1360
SMM234,958,1196,1406
SMM235,1146,1377,1581
SMM236,952,1183,1387
SMM237,900,1124,1322
SMM238,883,1114,1318
SMM239,903,1148,1364
SMM240,999,1237,1447
SMM241,854,1092,1302
SMM242,873,1118,1334
SMM243,911,1142,1346
SMM244,934,1172,1382
SMM245,919,1164,1380
SMM246,973,1218,1434
SMM247,929,1167,1377
SMM248,914,1166,1388
SMM249,915,1167,1389
SMM250,938,1183,139
